date,CAPE
1927.12,18.13
1928.01,18.65
1928.02,18.81
1928.03,18.87
1928.04,19.94
1928.05,21.26
1928.06,21.83
1928.07,20.91
1928.08,21.08
1928.09,21.76
1928.1,23.00
1928.11,23.58
1928.12,25.12
1929.01,25.30
1929.02,27.08
1929.03,27.13
1929.04,27.68
1929.05,27.57
1929.06,27.70
1929.07,27.94
1929.08,29.93
1929.09,31.48
1929.1,32.56
1929.11,28.96
1929.12,21.17
1930.01,22.01
1930.02,22.31
1930.03,23.70
1930.04,24.59
1930.05,25.84
1930.06,24.31
1930.07,21.87
1930.08,21.55
1930.09,21.30
1930.1,21.07
1930.11,18.21
1930.12,16.94
1931.01,16.06
1931.02,16.71
1931.03,18.16
1931.04,18.58
1931.05,16.87
1931.06,15.40
1931.07,15.06
1931.08,15.52
1931.09,15.01
1931.1,12.82
1931.11,11.15
1931.12,11.42
1932.01,9.31
1932.02,9.31
1932.03,9.34
1932.04,9.41
1932.05,7.19
1932.06,6.39
1932.07,5.57
1932.08,5.84
1932.09,8.83
1932.1,9.76
1932.11,8.48
1932.12,8.46
1933.01,8.26
1933.02,8.73
1933.03,7.83
1933.04,7.87
1933.05,8.72
1933.06,11.25
1933.07,13.10
1933.08,13.75
1933.09,13.00
1933.1,12.92
1933.11,11.70
1933.12,12.01
1934.01,12.28
1934.02,13.03
1934.03,13.93
1934.04,13.25
1934.05,13.52
1934.06,12.18
1934.07,12.29
1934.08,11.74
1934.09,11.32
1934.1,10.91
1934.11,11.11
1934.12,11.45
1935.01,11.64
1935.02,11.50
1935.03,11.09
1935.04,10.40
1935.05,11.10
1935.06,11.99
1935.07,12.54
1935.08,13.20
1935.09,14.11
1935.1,14.42
1935.11,14.83
1935.12,16.13
1936.01,16.16
1936.02,17.09
1936.03,18.10
1936.04,18.66
1936.05,18.72
1936.06,17.75
1936.07,18.39
1936.08,19.36
1936.09,19.62
1936.1,19.86
1936.11,20.91
1936.12,21.50
1937.01,21.13
1937.02,21.62
1937.03,22.24
1937.04,22.04
1937.05,20.56
1937.06,19.47
1937.07,18.71
1937.08,19.65
1937.09,19.81
1937.1,16.85
1937.11,14.36
1937.12,13.16
1938.01,13.01
1938.02,13.51
1938.03,13.26
