date,real,nominal
12/1/1927,312.41,20.75
1/1/1928,312.86,20.78
2/1/1928,316.52,20.78
3/1/1928,316.52,20.78
4/1/1928,316.52,20.78
5/1/1928,314.69,20.78
6/1/1928,316.52,20.78
7/1/1928,316.52,20.78
8/1/1928,316.52,20.78
9/1/1928,312.86,20.78
10/1/1928,314.69,20.78
11/1/1928,314.69,20.78
12/1/1928,316.52,20.78
1/1/1929,315.61,20.72
2/1/1929,315.61,20.72
3/1/1929,317.47,20.72
4/1/1929,319.36,20.72
5/1/1929,317.47,20.72
6/1/1929,315.61,20.72
7/1/1929,311.96,20.72
8/1/1929,311.96,20.72
9/1/1929,311.96,20.72
10/1/1929,311.96,20.72
11/1/1929,311.96,20.72
12/1/1929,313.78,20.72
1/1/1930,315.15,20.69
2/1/1930,317.01,20.69
3/1/1930,318.89,20.69
4/1/1930,317.01,20.69
5/1/1930,318.89,20.69
6/1/1930,320.78,20.69
7/1/1930,324.65,20.69
8/1/1930,326.61,20.69
9/1/1930,324.65,20.69
10/1/1930,326.61,20.69
11/1/1930,328.62,20.69
12/1/1930,334.74,20.69
1/1/1931,370.07,22.59
2/1/1931,374.79,22.59
3/1/1931,377.19,22.59
4/1/1931,379.62,22.59
5/1/1931,384.57,22.59
6/1/1931,389.68,22.59
7/1/1931,389.68,22.59
8/1/1931,389.68,22.59
9/1/1931,392.28,22.59
10/1/1931,394.9,22.59
11/1/1931,400.27,22.59
12/1/1931,403.03,22.59
1/1/1932,378.51,20.78
2/1/1932,383.87,20.78
3/1/1932,386.61,20.78
4/1/1932,389.4,20.78
5/1/1932,395.09,20.78
6/1/1932,398,20.78
7/1/1932,398,20.78
8/1/1932,400.93,20.78
9/1/1932,403.92,20.78
10/1/1932,406.98,20.78
11/1/1932,410.05,20.78
12/1/1932,413.19,20.78
1/1/1933,534.48,26.47
2/1/1933,542.9,26.47
3/1/1933,547.21,26.47
4/1/1933,547.21,26.47
5/1/1933,547.21,26.47
6/1/1933,542.9,26.47
7/1/1933,526.33,26.47
8/1/1933,522.33,26.47
9/1/1933,522.33,26.47
10/1/1933,522.33,26.47
11/1/1933,522.33,26.47
12/1/1933,522.33,26.47
1/1/1934,690.66,35
2/1/1934,685.48,35
3/1/1934,685.48,35
4/1/1934,685.48,35
5/1/1934,685.48,35
6/1/1934,680.33,35
7/1/1934,680.33,35
8/1/1934,680.33,35
9/1/1934,670.36,35
10/1/1934,675.29,35
11/1/1934,675.29,35
12/1/1934,680.33,35
1/1/1935,670.36,35
2/1/1935,665.46,35
3/1/1935,665.46,35
4/1/1935,660.63,35
5/1/1935,660.63,35
6/1/1935,665.46,35
7/1/1935,665.46,35
8/1/1935,665.46,35
9/1/1935,665.46,35
10/1/1935,665.46,35
11/1/1935,660.63,35
12/1/1935,660.63,35
1/1/1936,660.63,35
2/1/1936,660.63,35
3/1/1936,665.46,35
4/1/1936,665.46,35
5/1/1936,665.46,35
6/1/1936,660.63,35
7/1/1936,655.87,35
8/1/1936,651.18,35
9/1/1936,651.18,35
10/1/1936,651.18,35
11/1/1936,651.18,35
12/1/1936,651.18,35
1/1/1937,646.56,35
2/1/1937,646.56,35
3/1/1937,642.01,35
4/1/1937,637.53,35
5/1/1937,633.08,35
6/1/1937,633.08,35
7/1/1937,628.74,35
8/1/1937,628.74,35
9/1/1937,624.44,35
10/1/1937,624.44,35
11/1/1937,628.74,35
12/1/1937,633.08,35
1/1/1938,642.01,35
2/1/1938,646.56,35
3/1/1938,646.56,35
4/1/1938,642.01,35
5/1/1938,646.56,35
6/1/1938,646.56,35
7/1/1938,646.56,35
8/1/1938,646.56,35
9/1/1938,646.56,35
10/1/1938,651.18,35
11/1/1938,651.18,35
12/1/1938,651.18,35
1/1/1939,645.41,34.69
2/1/1939,650.06,34.69
3/1/1939,650.06,34.69
4/1/1939,654.77,34.69
5/1/1939,654.77,34.69
6/1/1939,654.77,34.69
7/1/1939,654.77,34.69
8/1/1939,654.77,34.69
9/1/1939,640.83,34.69
10/1/1939,645.41,34.69
11/1/1939,645.41,34.69
12/1/1939,645.41,34.69
1/1/1940,638.25,34.06
