date,real,nominal
12/1/1927,265.89,17.66
1/1/1928,264.53,17.57
2/1/1928,262.9,17.26
3/1/1928,293.67,19.28
4/1/1928,300.83,19.75
5/1/1928,302.88,20
6/1/1928,291.54,19.14
7/1/1928,295.96,19.43
8/1/1928,317.89,20.87
9/1/1928,318.28,21.14
10/1/1928,328.32,21.68
11/1/1928,367.7,24.28
12/1/1928,370.9,24.35
1/1/1929,392.07,25.74
2/1/1929,389.79,25.59
3/1/1929,391.17,25.53
4/1/1929,399.81,25.94
5/1/1929,380.45,24.83
6/1/1929,417.51,27.41
7/1/1929,434.82,28.88
8/1/1929,477.43,31.71
9/1/1929,454.09,30.16
10/1/1929,363.6,24.15
11/1/1929,314.97,20.92
12/1/1929,324.84,21.45
1/1/1930,347.14,22.79
2/1/1930,356.7,23.28
3/1/1930,372.22,24.15
4/1/1930,381.52,24.9
5/1/1930,377.46,24.49
6/1/1930,317.21,20.46
7/1/1930,332.81,21.21
8/1/1930,337.35,21.37
9/1/1930,291.7,18.59
10/1/1930,267.41,16.94
11/1/1930,263.18,16.57
12/1/1930,248.19,15.34
1/1/1931,263.59,16.09
2/1/1931,297.48,17.93
3/1/1931,278.67,16.69
4/1/1931,253.59,15.09
5/1/1931,221.65,13.02
6/1/1931,255.82,14.83
7/1/1931,236.84,13.73
8/1/1931,239.09,13.86
9/1/1931,168.61,9.71
10/1/1931,184.07,10.53
11/1/1931,168.33,9.5
12/1/1931,144.87,8.12
1/1/1932,143.72,7.89
2/1/1932,153.14,8.29
3/1/1932,136,7.31
4/1/1932,109.25,5.83
5/1/1932,84.99,4.47
6/1/1932,84.85,4.43
7/1/1932,116.83,6.1
8/1/1932,161.88,8.39
9/1/1932,157.06,8.08
10/1/1932,136.31,6.96
11/1/1932,129.25,6.55
12/1/1932,137,6.89
1/1/1933,140.13,6.94
2/1/1933,116.09,5.66
3/1/1933,120.94,5.85
4/1/1933,172,8.32
5/1/1933,199.29,9.64
6/1/1933,223.76,10.91
7/1/1933,197.85,9.95
8/1/1933,218.84,11.09
9/1/1933,193.98,9.83
10/1/1933,176.81,8.96
11/1/1933,194.96,9.88
12/1/1933,199.3,10.1
1/1/1934,220.42,11.17
2/1/1934,210.73,10.76
3/1/1934,210.54,10.75
4/1/1934,204.86,10.46
5/1/1934,188.21,9.61
6/1/1934,190.69,9.81
7/1/1934,168.72,8.68
8/1/1934,177.86,9.15
9/1/1934,174.29,9.1
10/1/1934,169.98,8.81
11/1/1934,184.06,9.54
12/1/1934,184.66,9.5
1/1/1935,174.29,9.1
2/1/1935,166.17,8.74
3/1/1935,161.04,8.47
4/1/1935,175.16,9.28
5/1/1935,180.82,9.58
6/1/1935,194.5,10.23
7/1/1935,210.66,11.08
8/1/1935,215.23,11.32
9/1/1935,220.36,11.59
10/1/1935,236.9,12.46
11/1/1935,244.43,12.95
12/1/1935,253.49,13.43
1/1/1936,270.1,14.31
2/1/1936,274.63,14.55
3/1/1936,283.67,14.92
4/1/1936,261.81,13.77
5/1/1936,273.79,14.4
6/1/1936,280.11,14.84
7/1/1936,297.01,15.85
8/1/1936,297.49,15.99
9/1/1936,297.87,16.01
10/1/1936,320.19,17.21
11/1/1936,321.49,17.28
12/1/1936,319.63,17.18
1/1/1937,329.37,17.83
2/1/1937,334.18,18.09
3/1/1937,328.71,17.92
4/1/1937,299.27,16.43
5/1/1937,294.11,16.26
6/1/1937,278.56,15.4
7/1/1937,305.03,16.98
8/1/1937,288.14,16.04
9/1/1937,245.49,13.76
10/1/1937,220.51,12.36
11/1/1937,199.58,11.11
12/1/1937,190.83,10.55
1/1/1938,196.09,10.69
2/1/1938,209.48,11.34
3/1/1938,157.02,8.5
4/1/1938,177.93,9.7
5/1/1938,171.24,9.27
6/1/1938,213.55,11.56
7/1/1938,229.07,12.4
8/1/1938,222.78,12.06
9/1/1938,226.11,12.24
10/1/1938,245.03,13.17
11/1/1938,236.84,12.73
12/1/1938,245.77,13.21
1/1/1939,228.84,12.3
2/1/1939,237.99,12.7
3/1/1939,205.75,10.98
4/1/1939,206.12,10.92
5/1/1939,218.95,11.6
6/1/1939,204.98,10.86
7/1/1939,227.26,12.04
8/1/1939,211.02,11.18
9/1/1939,240.52,13.02
10/1/1939,238.7,12.83
11/1/1939,226.98,12.2
12/1/1939,232.38,12.49
1/1/1940,225.8,12.05
2/1/1940,225.68,12.13
3/1/1940,227.91,12.25
4/1/1940,226.79,12.19
5/1/1940,172.47,9.27
6/1/1940,184.36,9.98
7/1/1940,191.45,10.29
8/1/1940,196.47,10.56
9/1/1940,198.33,10.66
10/1/1940,206.14,11.08
11/1/1940,197.4,10.61
12/1/1940,195.44,10.58
1/1/1941,186.02,10.07
2/1/1941,183.25,9.92
3/1/1941,182.7,9.96
4/1/1941,169.58,9.31
5/1/1941,169.12,9.35
6/1/1941,174.53,9.85
7/1/1941,184.1,10.39
8/1/1941,180.05,10.3
9/1/1941,175.95,10.2
10/1/1941,161.73,9.5
11/1/1941,153.92,9.1
12/1/1941,146.04,8.69
1/1/1942,146.17,8.81
2/1/1942,141.61,8.59
3/1/1942,130.4,8.01
4/1/1942,123.93,7.66
5/1/1942,130.24,8.15
6/1/1942,132.63,8.3
7/1/1942,135.96,8.56
8/1/1942,136.08,8.62
9/1/1942,139.71,8.85
10/1/1942,146.92,9.42
11/1/1942,144.03,9.29
12/1/1942,150.59,9.77
1/1/1943,161.37,10.47
2/1/1943,169.54,11
3/1/1943,175.37,11.58
4/1/1943,173.5,11.59
5/1/1943,180.25,12.11
6/1/1943,183.82,12.35
7/1/1943,174.85,11.68
8/1/1943,177.66,11.8
9/1/1943,180.84,12.08
10/1/1943,178.44,11.92
11/1/1943,164.97,11.02
12/1/1943,174.7,11.67
1/1/1944,177.39,11.85
2/1/1944,176.95,11.82
3/1/1944,179.94,12.02
4/1/1944,176.67,11.87
5/1/1944,183.82,12.35
6/1/1944,192.1,12.98
7/1/1944,187.04,12.71
8/1/1944,188.66,12.82
9/1/1944,188.07,12.78
10/1/1944,188.07,12.78
11/1/1944,188.81,12.83
12/1/1944,194.33,13.28
1/1/1945,197.11,13.47
2/1/1945,209.25,14.3
3/1/1945,199.59,13.64
4/1/1945,217.15,14.84
5/1/1945,218.43,15.01
6/1/1945,215.29,14.96
7/1/1945,210.97,14.66
8/1/1945,223.2,15.51
9/1/1945,232.56,16.16
10/1/1945,239.61,16.65
11/1/1945,247.38,17.19
12/1/1945,248.46,17.36
1/1/1946,265.77,18.57
2/1/1946,248.68,17.28
3/1/1946,257.35,18.08
4/1/1946,265.57,18.76
5/1/1946,270.05,19.18
6/1/1946,256.71,18.43
7/1/1946,236.26,17.96
8/1/1946,214.7,16.65
9/1/1946,191.01,14.96
10/1/1946,185.84,14.84
11/1/1946,179.4,14.67
12/1/1946,185.36,15.3
1/1/1947,189.72,15.66
2/1/1947,186.93,15.43
3/1/1947,180.43,15.17
4/1/1947,173.41,14.58
5/1/1947,171.87,14.45
6/1/1947,180.09,15.21
7/1/1947,184.91,15.76
8/1/1947,177.36,15.32
9/1/1947,171.12,15.11
10/1/1947,174.74,15.43
11/1/1947,169.03,14.99
12/1/1947,170.3,15.3
1/1/1948,161.44,14.69
2/1/1948,155.18,14
3/1/1948,167.86,15.08
4/1/1948,169.41,15.48
